iter	Passed	Remaining
0	841	83323
1	1344	65888
2	1574	50901
3	1762	42301
4	1958	37214
5	2179	34148
6	2397	31846
7	2911	33486
8	3235	32717
9	3568	32117
10	3890	31475
11	4251	31178
12	4523	30274
13	4811	29555
14	5060	28673
15	5320	27935
16	5564	27167
17	5820	26516
18	6149	26215
19	6450	25803
20	6702	25213
21	6987	24772
22	7226	24192
23	7629	24161
24	8850	26550
25	9520	27096
26	9847	26625
27	10401	26745
28	11002	26938
29	11358	26502
30	12237	27238
31	13098	27835
32	14367	29170
33	15177	29462
34	15820	29381
35	16179	28763
36	16446	28003
37	16714	27271
38	16955	26520
39	17165	25747
40	17407	25049
41	17621	24334
42	17923	23759
43	18201	23165
44	18406	22496
45	18798	22067
46	19001	21427
47	19285	20892
48	19501	20297
49	19703	19703
50	19926	19144
51	20205	18650
52	20405	18095
53	20599	17547
54	20808	17024
55	21057	16545
56	21336	16096
57	21680	15699
58	21863	15192
59	22058	14705
60	22242	14220
61	22434	13750
62	22634	13293
63	22815	12833
64	23014	12392
65	23229	11966
66	23404	11527
67	23582	11097
68	23890	10733
69	24174	10360
70	24367	9952
71	24545	9545
72	24736	9149
73	24931	8759
74	25129	8376
75	25405	8022
76	25627	7655
77	25828	7284
78	26017	6916
79	26396	6599
80	26644	6249
81	26865	5897
82	27050	5540
83	27240	5188
84	27410	4837
85	27592	4491
86	27752	4146
87	27946	3810
88	28124	3476
89	28294	3143
90	28486	2817
91	28706	2496
92	28979	2181
93	29172	1862
94	29362	1545
95	29540	1230
96	29712	918
97	29894	610
98	30078	303
99	30256	0
